Start profiling...
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Train Epoch: 1 [23200/60000 (39%)]	Loss: 0.085709
Train Epoch: 1 [23360/60000 (39%)]	Loss: 0.086137
Train Epoch: 1 [23520/60000 (39%)]	Loss: 0.074233
Train Epoch: 1 [23680/60000 (39%)]	Loss: 0.190303
Train Epoch: 1 [23840/60000 (40%)]	Loss: 0.207390
Train Epoch: 1 [24000/60000 (40%)]	Loss: 0.081906
Train Epoch: 1 [24160/60000 (40%)]	Loss: 0.049095
Train Epoch: 1 [24320/60000 (41%)]	Loss: 0.012301
Train Epoch: 1 [24480/60000 (41%)]	Loss: 0.359197
Train Epoch: 1 [24640/60000 (41%)]	Loss: 0.209598
Train Epoch: 1 [24800/60000 (41%)]	Loss: 0.207571
Train Epoch: 1 [24960/60000 (42%)]	Loss: 0.077492
Train Epoch: 1 [25120/60000 (42%)]	Loss: 0.113437
Train Epoch: 1 [25280/60000 (42%)]	Loss: 0.002411
Train Epoch: 1 [25440/60000 (42%)]	Loss: 0.137306
Train Epoch: 1 [25600/60000 (43%)]	Loss: 0.403538
Train Epoch: 1 [25760/60000 (43%)]	Loss: 0.026941
Train Epoch: 1 [25920/60000 (43%)]	Loss: 0.001021
Train Epoch: 1 [26080/60000 (43%)]	Loss: 0.263463
Train Epoch: 1 [26240/60000 (44%)]	Loss: 0.057830
Train Epoch: 1 [26400/60000 (44%)]	Loss: 0.055296
Train Epoch: 1 [26560/60000 (44%)]	Loss: 0.669352
Train Epoch: 1 [26720/60000 (45%)]	Loss: 0.129605
Train Epoch: 1 [26880/60000 (45%)]	Loss: 0.099269
Train Epoch: 1 [27040/60000 (45%)]	Loss: 0.025687
Train Epoch: 1 [27200/60000 (45%)]	Loss: 0.040413
Train Epoch: 1 [27360/60000 (46%)]	Loss: 0.123954
Train Epoch: 1 [27520/60000 (46%)]	Loss: 0.551464
Train Epoch: 1 [27680/60000 (46%)]	Loss: 0.027725
Train Epoch: 1 [27840/60000 (46%)]	Loss: 0.108673
Train Epoch: 1 [28000/60000 (47%)]	Loss: 0.178867
Train Epoch: 1 [28160/60000 (47%)]	Loss: 0.158235
Train Epoch: 1 [28320/60000 (47%)]	Loss: 0.053412
Train Epoch: 1 [28480/60000 (47%)]	Loss: 0.016949
Train Epoch: 1 [28640/60000 (48%)]	Loss: 0.022802
Train Epoch: 1 [28800/60000 (48%)]	Loss: 0.019005
Train Epoch: 1 [28960/60000 (48%)]	Loss: 0.061709
Train Epoch: 1 [29120/60000 (49%)]	Loss: 0.072034
Train Epoch: 1 [29280/60000 (49%)]	Loss: 0.365707
Train Epoch: 1 [29440/60000 (49%)]	Loss: 0.138729
Train Epoch: 1 [29600/60000 (49%)]	Loss: 0.016025
Train Epoch: 1 [29760/60000 (50%)]	Loss: 0.113625
Train Epoch: 1 [29920/60000 (50%)]	Loss: 0.321433
Train Epoch: 1 [30080/60000 (50%)]	Loss: 0.050388
Train Epoch: 1 [30240/60000 (50%)]	Loss: 0.125963
Train Epoch: 1 [30400/60000 (51%)]	Loss: 0.172966
Train Epoch: 1 [30560/60000 (51%)]	Loss: 0.052300
Train Epoch: 1 [30720/60000 (51%)]	Loss: 0.324754
Train Epoch: 1 [30880/60000 (51%)]	Loss: 0.019488
Train Epoch: 1 [31040/60000 (52%)]	Loss: 0.037151
Train Epoch: 1 [31200/60000 (52%)]	Loss: 0.060533
Train Epoch: 1 [31360/60000 (52%)]	Loss: 0.009661
Train Epoch: 1 [31520/60000 (53%)]	Loss: 0.134119
Train Epoch: 1 [31680/60000 (53%)]	Loss: 0.005190
Train Epoch: 1 [31840/60000 (53%)]	Loss: 0.010484
Train Epoch: 1 [32000/60000 (53%)]	Loss: 0.096129
Train Epoch: 1 [32160/60000 (54%)]	Loss: 0.137665
Train Epoch: 1 [32320/60000 (54%)]	Loss: 0.164785
Train Epoch: 1 [32480/60000 (54%)]	Loss: 0.208363
Train Epoch: 1 [32640/60000 (54%)]	Loss: 0.152138
Train Epoch: 1 [32800/60000 (55%)]	Loss: 0.037768
Train Epoch: 1 [32960/60000 (55%)]	Loss: 0.051936
Train Epoch: 1 [33120/60000 (55%)]	Loss: 0.002709
Train Epoch: 1 [33280/60000 (55%)]	Loss: 0.006408
Train Epoch: 1 [33440/60000 (56%)]	Loss: 0.485862
