Start profiling...
multiconv2d_handin_cpp.py:26: UserWarning: torch.range is deprecated and will be removed in a future release because its behavior is inconsistent with Python's range builtin. Instead, use torch.arange, which produces values in [start, end).
  channel0_y=torch.range(y_min,y_max).cuda(0)
multiconv2d_handin_cpp.py:28: UserWarning: torch.range is deprecated and will be removed in a future release because its behavior is inconsistent with Python's range builtin. Instead, use torch.arange, which produces values in [start, end).
  channel0_x=torch.range(x_min,x_max).cuda(0)
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Train Epoch: 3 [7680/60000 (13%)]	Loss: 0.172080
Train Epoch: 3 [8320/60000 (14%)]	Loss: 0.220930
Train Epoch: 3 [8960/60000 (15%)]	Loss: 0.202403
Train Epoch: 3 [9600/60000 (16%)]	Loss: 0.363435
Train Epoch: 3 [10240/60000 (17%)]	Loss: 0.276655
Train Epoch: 3 [10880/60000 (18%)]	Loss: 0.474337
Train Epoch: 3 [11520/60000 (19%)]	Loss: 0.257471
Train Epoch: 3 [12160/60000 (20%)]	Loss: 0.300588
Train Epoch: 3 [12800/60000 (21%)]	Loss: 0.300506
Train Epoch: 3 [13440/60000 (22%)]	Loss: 0.290242
Train Epoch: 3 [14080/60000 (23%)]	Loss: 0.290332
Train Epoch: 3 [14720/60000 (25%)]	Loss: 0.246670
Train Epoch: 3 [15360/60000 (26%)]	Loss: 0.139701
Train Epoch: 3 [16000/60000 (27%)]	Loss: 0.194070
Train Epoch: 3 [16640/60000 (28%)]	Loss: 0.233958
Train Epoch: 3 [17280/60000 (29%)]	Loss: 0.271069
Train Epoch: 3 [17920/60000 (30%)]	Loss: 0.183272
Train Epoch: 3 [18560/60000 (31%)]	Loss: 0.304515
Train Epoch: 3 [19200/60000 (32%)]	Loss: 0.261697
Train Epoch: 3 [19840/60000 (33%)]	Loss: 0.316872
Train Epoch: 3 [20480/60000 (34%)]	Loss: 0.131421
Train Epoch: 3 [21120/60000 (35%)]	Loss: 0.370879
Train Epoch: 3 [21760/60000 (36%)]	Loss: 0.276424
Train Epoch: 3 [22400/60000 (37%)]	Loss: 0.121071
Train Epoch: 3 [23040/60000 (38%)]	Loss: 0.214374
Train Epoch: 3 [23680/60000 (39%)]	Loss: 0.129448
Train Epoch: 3 [24320/60000 (41%)]	Loss: 0.261863
Train Epoch: 3 [24960/60000 (42%)]	Loss: 0.273215
Train Epoch: 3 [25600/60000 (43%)]	Loss: 0.340756
Train Epoch: 3 [26240/60000 (44%)]	Loss: 0.397137
Train Epoch: 3 [26880/60000 (45%)]	Loss: 0.141994
Train Epoch: 3 [27520/60000 (46%)]	Loss: 0.147892
Train Epoch: 3 [28160/60000 (47%)]	Loss: 0.151211
Train Epoch: 3 [28800/60000 (48%)]	Loss: 0.196980
Train Epoch: 3 [29440/60000 (49%)]	Loss: 0.115420
Train Epoch: 3 [30080/60000 (50%)]	Loss: 0.237326
Train Epoch: 3 [30720/60000 (51%)]	Loss: 0.121030
Train Epoch: 3 [31360/60000 (52%)]	Loss: 0.373958
Train Epoch: 3 [32000/60000 (53%)]	Loss: 0.211471
Train Epoch: 3 [32640/60000 (54%)]	Loss: 0.226899
Train Epoch: 3 [33280/60000 (55%)]	Loss: 0.184778
Train Epoch: 3 [33920/60000 (57%)]	Loss: 0.362703
Train Epoch: 3 [34560/60000 (58%)]	Loss: 0.324906
Train Epoch: 3 [35200/60000 (59%)]	Loss: 0.348870
Train Epoch: 3 [35840/60000 (60%)]	Loss: 0.275342
Train Epoch: 3 [36480/60000 (61%)]	Loss: 0.194187
Train Epoch: 3 [37120/60000 (62%)]	Loss: 0.141980
Train Epoch: 3 [37760/60000 (63%)]	Loss: 0.282997
Train Epoch: 3 [38400/60000 (64%)]	Loss: 0.560233
Train Epoch: 3 [39040/60000 (65%)]	Loss: 0.207763
Train Epoch: 3 [39680/60000 (66%)]	Loss: 0.315006
Train Epoch: 3 [40320/60000 (67%)]	Loss: 0.344003
Train Epoch: 3 [40960/60000 (68%)]	Loss: 0.318918
Train Epoch: 3 [41600/60000 (69%)]	Loss: 0.317817
Train Epoch: 3 [42240/60000 (70%)]	Loss: 0.248655
Train Epoch: 3 [42880/60000 (71%)]	Loss: 0.292989
Train Epoch: 3 [43520/60000 (72%)]	Loss: 0.182352
Train Epoch: 3 [44160/60000 (74%)]	Loss: 0.207379
Train Epoch: 3 [44800/60000 (75%)]	Loss: 0.243817
Train Epoch: 3 [45440/60000 (76%)]	Loss: 0.262092
Train Epoch: 3 [46080/60000 (77%)]	Loss: 0.231482
Train Epoch: 3 [46720/60000 (78%)]	Loss: 0.210904
Train Epoch: 3 [47360/60000 (79%)]	Loss: 0.186844
Train Epoch: 3 [48000/60000 (80%)]	Loss: 0.067899
Train Epoch: 3 [48640/60000 (81%)]	Loss: 0.169103
Train Epoch: 3 [49280/60000 (82%)]	Loss: 0.277286
Train Epoch: 3 [49920/60000 (83%)]	Loss: 0.320188
Train Epoch: 3 [50560/60000 (84%)]	Loss: 0.180386
