Start profiling...
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Train Epoch: 3 [0/60000 (0%)]	Loss: 0.023735
Train Epoch: 3 [640/60000 (1%)]	Loss: 0.072426
Train Epoch: 3 [1280/60000 (2%)]	Loss: 0.039756
Train Epoch: 3 [1920/60000 (3%)]	Loss: 0.145196
Train Epoch: 3 [2560/60000 (4%)]	Loss: 0.067854
Train Epoch: 3 [3200/60000 (5%)]	Loss: 0.031564
Train Epoch: 3 [3840/60000 (6%)]	Loss: 0.041919
Train Epoch: 3 [4480/60000 (7%)]	Loss: 0.012279
Train Epoch: 3 [5120/60000 (9%)]	Loss: 0.074662
Train Epoch: 3 [5760/60000 (10%)]	Loss: 0.027460
Train Epoch: 3 [6400/60000 (11%)]	Loss: 0.031593
Train Epoch: 3 [7040/60000 (12%)]	Loss: 0.035316
Train Epoch: 3 [7680/60000 (13%)]	Loss: 0.005915
Train Epoch: 3 [8320/60000 (14%)]	Loss: 0.021851
Train Epoch: 3 [8960/60000 (15%)]	Loss: 0.079853
Train Epoch: 3 [9600/60000 (16%)]	Loss: 0.015328
Train Epoch: 3 [10240/60000 (17%)]	Loss: 0.079736
Train Epoch: 3 [10880/60000 (18%)]	Loss: 0.008203
Train Epoch: 3 [11520/60000 (19%)]	Loss: 0.030305
Train Epoch: 3 [12160/60000 (20%)]	Loss: 0.133315
Train Epoch: 3 [12800/60000 (21%)]	Loss: 0.045584
Train Epoch: 3 [13440/60000 (22%)]	Loss: 0.059732
Train Epoch: 3 [14080/60000 (23%)]	Loss: 0.052373
Train Epoch: 3 [14720/60000 (25%)]	Loss: 0.044820
Train Epoch: 3 [15360/60000 (26%)]	Loss: 0.102674
Train Epoch: 3 [16000/60000 (27%)]	Loss: 0.009980
Train Epoch: 3 [16640/60000 (28%)]	Loss: 0.011611
Train Epoch: 3 [17280/60000 (29%)]	Loss: 0.078269
Train Epoch: 3 [17920/60000 (30%)]	Loss: 0.017074
Train Epoch: 3 [18560/60000 (31%)]	Loss: 0.199433
Train Epoch: 3 [19200/60000 (32%)]	Loss: 0.020737
Train Epoch: 3 [19840/60000 (33%)]	Loss: 0.032321
Train Epoch: 3 [20480/60000 (34%)]	Loss: 0.031140
